Category,Category Name,Scheme Name,Description,Benefits,Flaws,Level
M1,Ante Natal Care (ANC),Janani Suraksha Yojana (JSY),Promotes institutional deliveries among poor pregnant women,Reduces maternal and neonatal mortality,Challenges in quality of care and gaps in remote areas,National
M1,Ante Natal Care (ANC),Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA),Ensures at least one ANC checkup by specialists during the 2nd or 3rd trimester,Improves maternal and fetal health through specialized care,Lack of follow-up care in remote regions,National
M1,Ante Natal Care (ANC),Janani Shishu Suraksha Karyakram (JSSK),Provides free ANC services in government facilities,Eliminates financial barriers for mothers seeking antenatal care,Implementation challenges due to logistical issues,National
M1,Ante Natal Care (ANC),LaQshya,Focuses on improving quality in labor rooms and maternity operation theaters,Ensures safer childbirth practices through quality standards,Requires significant resources for infrastructure upgrades,National
M1,Ante Natal Care (ANC),Mukhya Mantri Rajshree Yojana,Provides ANC and delivery support for girl child mothers in Rajasthan,Promotes ANC visits and ensures institutional deliveries,Limited to specific state and target group,State
M1,Ante Natal Care (ANC),Sampoorna Suraksha Card,Provides comprehensive ANC coverage for below poverty line families,Encourages regular ANC checkups and safe deliveries,Awareness and accessibility issues affect uptake,State
M1,Ante Natal Care (ANC),Thayi Bhagya Scheme,Focuses on maternal health for underprivileged women in Karnataka,Improves access to ANC services in rural and tribal regions,State-specific implementation limits its broader impact,State
M1,Ante Natal Care (ANC),Chiranjeevi Scheme,Provides free delivery services in Gujarat,Increases institutional deliveries among poor women,Limited availability of services in remote areas,State
M1,Ante Natal Care (ANC),Vande Mataram Scheme,Encourages private sector participation in maternal health,Enhances ANC access through private practitioners,Coordination issues between public and private sectors,National
M1,Ante Natal Care (ANC),Matri Vandana,Focuses on maternal nutrition and early antenatal care,Supports pregnant women with nutritional needs,Delayed rollout in some regions,National
M2,Deliveries,Pradhan Mantri Matru Vandana Yojana (PMMVY),Offers financial incentives to promote institutional delivery and child immunization,Encourages safe deliveries and supports postnatal care,Delays in fund disbursement affect reliability,National
M2,Deliveries,Janani Shishu Suraksha Karyakram (JSSK),Provides free institutional delivery services,Reduces financial burden and promotes institutional births,Public facilities often face quality-of-care issues,National
M2,Deliveries,Chiranjeevi Scheme,Provides free delivery services in Gujarat,Increases institutional deliveries among low-income groups,Limited availability of services in remote areas,State
