Category,Category Name,Data Code,Data Name,Date,Patient Count,Normalized Patient Count
M1,Ante Natal Care (ANC),1.1,Total number of NEW Pregnant Women registered for ANC ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",01-04-2023,0,0
M1,Ante Natal Care (ANC),1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,01-04-2023,116,0.073278585
M1,Ante Natal Care (ANC),1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),01-04-2023,6,0.003790272
M1,Ante Natal Care (ANC),1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),01-04-2023,2,0.001263424
M1,Ante Natal Care (ANC),1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),01-04-2023,4,0.002526848
M1,Ante Natal Care (ANC),1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.2.5,Number of PW provided full course 360 Calcium tablets ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.2.6,Number of PW given one Albendazole tablet after 1st trimester,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.2.7,Number of PW received 4 or more ANC check ups,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,01-04-2023,20,0.012634239
M1,Ante Natal Care (ANC),1.3.1,New cases of PW with hypertension detected ,01-04-2023,18,0.011370815
M1,Ante Natal Care (ANC),1.3.1.a,Number of PW with hypertension managed at institution ,01-04-2023,18,0.011370815
M1,Ante Natal Care (ANC),1.3.2,Number of Eclampsia cases managed during delivery,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,01-04-2023,48,0.030322173
M1,Ante Natal Care (ANC),1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),01-04-2023,32,0.020214782
M1,Ante Natal Care (ANC),1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),01-04-2023,2,0.001263424
M1,Ante Natal Care (ANC),1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),01-04-2023,2,0.001263424
M1,Ante Natal Care (ANC),1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),01-04-2023,208,0.131396083
M1,Ante Natal Care (ANC),1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,01-04-2023,26,0.01642451
M1,Ante Natal Care (ANC),1.5.3,Number of PW given Insulin out of total tested positive for GDM,01-04-2023,6,0.003790272
M1,Ante Natal Care (ANC),1.5.4,Number of PW given Metformin out of total tested positive for GDM,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,01-04-2023,208,0.131396083
M1,Ante Natal Care (ANC),1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),01-04-2023,0,0
M1,Ante Natal Care (ANC),1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment ",01-04-2023,0,0
M1,Ante Natal Care (ANC),1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.7.2,Number of Pregnant Women treated for thyroid disorder,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.8.1,Number of Pregnant Women screened for TB ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms ,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.1.a,Number of Pregnant Women with Post-Partum Haemorrhage(Immediately after delivery) in the facility.,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.1.b,Number of Pregnant Women with Sepsis in the facility.,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.1.c,Number of Pregnant Women identified with Eclampsia in the facility,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.1.d,Number of Pregnant Women identified with obstructed labour in the facility.,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.3,Total no. of ANC or PNC cases referred to Higher/ any other facility,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.4,Total no. of ANC or PNC cases referred in to the facility,01-04-2023,0,0
M1,Ante Natal Care (ANC),1.9.5,Number of Complicated pregnancies treated with Blood Transfusion,01-04-2023,0,0
M2,Deliveries,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM) ,01-04-2023,0,0
M2,Deliveries,2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),01-04-2023,0,0
M2,Deliveries,2.1.2,Number of PW given Tablet Misoprostol during home delivery,01-04-2023,0,0
M2,Deliveries,2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,01-04-2023,0,0
M2,Deliveries,2.2,Number of Institutional Deliveries conducted (Including C-Sections),01-04-2023,100,0.523560209
M2,Deliveries,2.2.1,"Out of total institutional deliveries(excluding C-section), number of women stayed for 48 hours or more after delivery",01-04-2023,51,0.267015707
M2,Deliveries,2.2.2,"Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C-Sections) conducted at night (8 PM- 8 AM)",01-04-2023,2,0.010471204
M2,Deliveries,2.3,Age wise total number of delivery (Home +Institutional) reported (2.3.1+2.3.2+2.3.3+2.3.4),01-04-2023,100,0.523560209
M2,Deliveries,2.3.1,"Out of total number of delivery, PW with age <15 years",01-04-2023,0,0
M2,Deliveries,2.3.2,"Out of total number of delivery, PW with age 15-19 years",01-04-2023,0,0
M2,Deliveries,2.3.3,"Out of total number of delivery, PW with age >19-49 years",01-04-2023,100,0.523560209
M2,Deliveries,2.3.4,"Out of total number of delivery, PW with age > 49 years",01-04-2023,0,0
M2,Deliveries,2.4,Number of newborns received 6 HBNC visits after Institutional Delivery,01-04-2023,0,0
M2,Deliveries,2.5,No. of identified Sick new-borns referred by ASHA to facility under HBNC Programme,01-04-2023,0,0
M2,Deliveries,2.6,Total number of Children received all scheduled 5 Home visits under HBYC ,01-04-2023,0,0
M3,Number of Caesarean (C-Section) deliveries,3.1,Total number of C -Section deliveries performed,01-04-2023,49,0.453608247
M3,Number of Caesarean (C-Section) deliveries,3.1.1,"Out of total C-sections, number performed at night (8 PM- 8 AM)",01-04-2023,8,0.030927835
M3,Number of Caesarean (C-Section) deliveries,3.1.2,"Out of total C-section, number of women stayed for 72 hours or more after delivery",01-04-2023,49,0.453608247
M4,Pregnancy outcome & details of new-born,4.1.1.a,Live Birth - Male,01-04-2023,46,0.240837696
M4,Pregnancy outcome & details of new-born,4.1.1.b,Live Birth - Female,01-04-2023,53,0.277486911
M4,Pregnancy outcome & details of new-born,4.1.2,Number of Pre-term newborns ( < 37 weeks of pregnancy),01-04-2023,7,0.036649215
M4,Pregnancy outcome & details of new-born,4.1.3.a,Intrapartum (Fresh) Still Birth,01-04-2023,1,0.005235602
M4,Pregnancy outcome & details of new-born,4.1.3.b,Antepartum (Macerated) Still Birth,01-04-2023,0,0
M4,Pregnancy outcome & details of new-born,4.2,Abortion (spontaneous),01-04-2023,0,0
M4,Pregnancy outcome & details of new-born,4.4.1,Number of Newborns weighed at birth,01-04-2023,99,0.518324607
M4,Pregnancy outcome & details of new-born,4.4.2,Number of Newborns having weight less than 2500 gms,01-04-2023,12,0.062827225
M4,Pregnancy outcome & details of new-born,4.4.2.a,"Out of the above, number of Newborns having weight less than 1800 gms",01-04-2023,1,0.005235602
M4,Pregnancy outcome & details of new-born,4.4.3,Number of Newborns breast fed within 1 hour of birth,01-04-2023,99,0.518324607
M4,Pregnancy outcome & details of new-born,4.4.4,No. of Newborns discharged from the facility were exclusively breastfed till discharge,01-04-2023,99,0.518324607
M4,Pregnancy outcome & details of new-born,4.4.5,Number of Newborns received Donor Human Milk (DHM) in the facility,01-04-2023,0,0
