Category,Data Code,Data Name,Date,Patient Count,Normalized Patient Count
m1 [ante natal care (anc)],1.1,Total number of NEW Pregnant Women registered for ANC ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,2023-04-01,116.0,0.0016313672545214186
m1 [ante natal care (anc)],1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),2023-04-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),2023-04-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),2023-04-01,4.0,5.6254043259359264e-05
m1 [ante natal care (anc)],1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.2.5,Number of PW provided full course 360 Calcium tablets ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.2.7,Number of PW received 4 or more ANC check ups,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,2023-04-01,20.0,0.0002812702162967963
m1 [ante natal care (anc)],1.3.1,New cases of PW with hypertension detected ,2023-04-01,18.0,0.0002531431946671167
m1 [ante natal care (anc)],1.3.1.a,Number of PW with hypertension managed at institution ,2023-04-01,18.0,0.0002531431946671167
m1 [ante natal care (anc)],1.3.2,Number of Eclampsia cases managed during delivery,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2023-04-01,48.0,0.0006750485191123112
m1 [ante natal care (anc)],1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),2023-04-01,32.0,0.0004500323460748741
m1 [ante natal care (anc)],1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),2023-04-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),2023-04-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2023-04-01,208.0,0.002925210249486682
m1 [ante natal care (anc)],1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,2023-04-01,26.0,0.00036565128118583524
m1 [ante natal care (anc)],1.5.3,Number of PW given Insulin out of total tested positive for GDM,2023-04-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.5.4,Number of PW given Metformin out of total tested positive for GDM,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,2023-04-01,208.0,0.002925210249486682
m1 [ante natal care (anc)],1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment ",2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.7.2,Number of Pregnant Women treated for thyroid disorder,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.8.1,Number of Pregnant Women screened for TB ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms ,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.a,Number of Pregnant Women with Post-Partum Haemorrhage(Immediately after delivery) in the facility.,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.b,Number of Pregnant Women with Sepsis in the facility.,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.c,Number of Pregnant Women identified with Eclampsia in the facility,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.d,Number of Pregnant Women identified with obstructed labour in the facility.,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.3,Total no. of ANC or PNC cases referred to Higher/ any other facility,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.4,Total no. of ANC or PNC cases referred in to the facility,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.9.5,Number of Complicated pregnancies treated with Blood Transfusion,2023-04-01,0.0,0.0
m1 [ante natal care (anc)],1.1,Total number of NEW Pregnant Women registered for ANC ,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,2023-05-01,146.0,0.002053272578966613
m1 [ante natal care (anc)],1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),2023-05-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),2023-05-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.2.5,Number of PW provided full course 360 Calcium tablets ,2023-05-01,0.0,0.0
