Category,Scheme Name,Description,Benefits,Flaws,Level
m1,Janani Suraksha Yojana (JSY),promotes institutional deliveries among poor pregnant women,reduces maternal and neonatal mortality,challenges in quality of care and gaps in remote areas,National
m1,Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA),ensures at least one anc checkup by specialists during the 2nd or 3rd trimester,improves maternal and fetal health through specialized care,lack of followup care in remote regions,National
m1,Janani Shishu Suraksha Karyakram (JSSK),provides free anc services in government facilities,eliminates financial barriers for mothers seeking antenatal care,implementation challenges due to logistical issues,National
m1,LaQshya,focuses on improving quality in labor rooms and maternity operation theaters,ensures safer childbirth practices through quality standards,requires significant resources for infrastructure upgrades,National
m1,Mukhya Mantri Rajshree Yojana,provides anc and delivery support for girl child mothers in rajasthan,promotes anc visits and ensures institutional deliveries,limited to specific state and target group,State
m1,Sampoorna Suraksha Card,provides comprehensive anc coverage for below poverty line families,encourages regular anc checkups and safe deliveries,awareness and accessibility issues affect uptake,State
m1,Thayi Bhagya Scheme,focuses on maternal health for underprivileged women in karnataka,improves access to anc services in rural and tribal regions,statespecific implementation limits its broader impact,State
m1,Chiranjeevi Scheme,provides free delivery services in gujarat,increases institutional deliveries among poor women,limited availability of services in remote areas,State
m1,Vande Mataram Scheme,encourages private sector participation in maternal health,enhances anc access through private practitioners,coordination issues between public and private sectors,National
m1,Matri Vandana,focuses on maternal nutrition and early antenatal care,supports pregnant women with nutritional needs,delayed rollout in some regions,National
m2,Pradhan Mantri Matru Vandana Yojana (PMMVY),offers financial incentives to promote institutional delivery and child immunization,encourages safe deliveries and supports postnatal care,delays in fund disbursement affect reliability,National
m2,Janani Shishu Suraksha Karyakram (JSSK),provides free institutional delivery services,reduces financial burden and promotes institutional births,public facilities often face qualityofcare issues,National
m2,Chiranjeevi Scheme,provides free delivery services in gujarat,increases institutional deliveries among lowincome groups,limited availability of services in remote areas,State
m2,National Health Mission (NHM),integrates maternal and child health services with a focus on delivery care,improves maternal health outcomes through holistic service delivery,overburdened staff in rural health facilities limits effectiveness,National
m2,Thayi Bhagya Scheme,ensures maternal healthcare for underprivileged women in karnataka,enhances access to institutional delivery services,statespecific scope limits impact,State
m2,Maternity Benefit Program,provides cash incentives for deliveries,supports maternal recovery and neonatal health,delays in fund distribution,National
m2,Urban Health Initiative,focuses on antenatal care and urban maternal health,targets underserved urban populations,insufficient infrastructure in urban slums,State
m2,Janani Evam Bal Suraksha Yojana,focuses on both maternal and neonatal health outcomes,improves neonatal survival rates,lack of staff training,State
m2,Mukhya Mantri Shishu Suraksha Yojana,supports institutional deliveries and child health services,reduces neonatal and maternal mortality rates,lack of awareness,State
m2,Suman Yojana,focuses on improving maternal health during delivery,promotes respectful maternity care,challenges in sustaining outreach services,National
m3,LaQshya,reduces unnecessary cesarean sections through training and audits,improves decisionmaking and quality of care in delivery wards,limited implementation in smaller facilities,National
